question,answer,correct_answer
Câu 1: Chiến thắng Việt Bắc thu-đông năm 1947 của quân dân Việt Nam đã,"A. làm thất bại chiến tranh tổng lực.	B. làm thất bại chiến tranh cục bộ.
C. làm thất bại chiến tranh đặc biệt.	D. cho thấy bộ đội chủ lực ngày càng trưởng thành.",D
Câu 2: Một trong những hoạt động của Nguyễn Ái Quốc ở Pháp trong những năm 1919-1923 là,"A. triệu tập Hội nghị hợp nhất các tổ chức cộng sản.
B. soạn thảo Chính cương của Đảng Cộng sản Đông Dương.
C. tham gia sáng lập Hội Liên hiệp thuộc địa ở Pari.
D. soạn thảo Sách lược của Đảng Cộng sản Đông Dương.",C
"Câu 3: Năm 1959, nước cộng hòa nào sau đây được thành lập ở khu vực Mĩ Latinh?",A. Lào. 	B. Cuba. 	C. Indônêxia.	D. Campuchia.,B
"Câu 4: Trong phong trào dân chủ 1936-1939, Nhân dân Việt Nam đã","A. gửi yêu sách về dân sinh, dân chủ.	B. tiến hành chiến tranh du kích cục bộ.
C. lập căn cứ địa cách mạng trong cả nước.	D. khởi nghĩa vũ trang giành chính quyền.",A
Câu 5: Một trong ba tổ chức cộng sản ra đời ở Việt Nam trong năm 1929 là,"A. Hội Phục Việt.		B. Việt Nam Quốc dân đảng.
C. Đông Dương Cộng sản đảng.	D. Đảng Dân chủ Việt Nam.",C
"Câu 6: Từ năm 1952 đến năm 1973, kinh tế Nhật Bản có biểu hiện nào sau đây?",A. Khủng hoảng. 	B. Trì trệ.	C. Suy thoái.	D. Phát triển.,D
"Câu 7: Để tăng cường xây dựng hậu phương kháng chiến, trong những năm 1951-1953, Nhân dân Việt Nam thực hiện nhiệm vụ","A. phát triển kinh tế thị trường.	B. bài trừ mê tín dị đoan.
C. điện khí hóa nông nghiệp.	D. điện khí hóa nông thôn.",B
Câu 8: Một trong những âm mưu của Mỹ trong thời kì 1954-1975 là biến miền Nam Việt Nam thành,"A. thị trường xuất khẩu duy nhất.	B. căn cứ quân sự của Mĩ ở Đông Dương.
C. đồng minh duy nhất.		D. căn cứ quân sự duy nhất.",B
"Câu 9: Trong hơn một năm kể từ ngày Cách mạng tháng Tám năm 1945 thành công, Nhân dân Việt Nam đã","A. tiến hành hiện đại hóa đất nước.	B. tiến hành công nghiệp hóa đất nước.
C. thực hiện phong trào xóa nạn mù chữ.	D. ứng dụng công nghệ cao vào sản xuất.",C
Câu 10: Đường lối đổi mới của Đảng Cộng sản Việt Nam (từ tháng 12-1986) có nội dung nào sau đây?,"A. Chỉ tập trung đổi mới về văn hóa.	B. Chỉ đổi mới về tổ chức và tư tưởng.
C. Chỉ tập trung đổi mới về chính trị.	D. Đổi mới kinh tế là trọng tâm.",D
"Câu 11: Trong phong trào giải phóng dân tộc 1939-1945, Nhân dân Việt Nam đã","A. xây dựng kinh tế tập thể.		B. xây dựng nông thôn mới.
C. xây dựng kinh tế nhà nước.	D. xây dựng căn cứ địa cách mạng.",D
Câu 12: Hội Việt Nam Cách mạng Thanh niên (1925-1929) có hoạt động nào sau đây?,"A. Tổ chức ám sát trùm mộ phu Badanh.	B. Xuất bản báo Thanh niên.
C. Phát động nhân dân tổng khởi nghĩa.	D. Phát động khởi nghĩa Yên Bái.",B
Câu 13: Sự kiện lịch sử thế giới nào sau đây có ảnh hưởng đến cách mạng Việt Nam thời kì 1919 – 1930?,"A. Liên minh châu Âu được thành lập.	B. Chiến tranh thế giới thứ hai bùng nổ.
C. Nước Nga Xô viết ra đời.	D. Chiến tranh thế giới thứ hai kết thúc.",C
