question,answer,correct_answer
"Câu 1: Sau Chiến tranh thế giới thứ hai, lực lượng Đồng minh nào vào Việt Nam giải giáp quân đội Nhật ở phía Nam vĩ tuyến 16?","A. Quân Pháp. B. Quân Anh.
C. Quân Mỹ. D. Quân Trung Hoa Dân quốc.",B
"Câu 2: Trong quá trình chuẩn bị tiến tới khởi nghĩa giành chính quyền, vào năm 1943, Đảng Cộng sản Đông Dương đã","A. đề ra Chương trình hành động của Việt Minh. B. thành lập Hội Phản đế Đồng minh.
C. thành lập Hội Văn hóa Cứu quốc Việt Nam. D. đề ra Đề cương Văn hóa Việt Nam.",D
Câu 3: Hội nghị lần thứ 21 Ban Chấp hành Trung ương Đảng Lao động Việt Nam (tháng 7 - 1973) chủ trương đấu tranh chống Mỹ và chính quyền Sài Gòn trên cả ba mặt trận,"A. quân sự, kinh tế, ngoại giao. B. quân sự, ngoại giao, văn hóa.
C. quân sự, chính trị, ngoại giao. D. chính trị, kinh tế, văn hóa.",C
"Câu 4: Trong thời kỳ Chiến tranh lạnh, quốc gia nào ở châu Âu trở thành tâm điểm đối đầu giữa hai cực Xô - Mỹ?",A. Đức. B. Pháp. C. Anh. D. Hy Lạp.,A
"Câu 5: Tại Đại hội đại biểu lần thứ II (tháng 2 - 1951), Đảng Cộng sản Đông Dương quyết định thành lập ở mỗi nước Đông Dương một","A. Đảng Mác - Lênin. B. Chính phủ liên hiệp.
C. mặt trận thống nhất. D. lực lượng vũ trang.",A
"Câu 6: Từ năm 1996 đến năm 2000, kinh tế Liên bang Nga","A. kém phát triển và suy thoái. B. phát triển với tốc độ cao.
C. lâm vào trì trệ và khủng hoảng. D. có sự phục hồi và phát triển.",D
Câu 7: Thực dân Pháp bắt đầu tiến hành cuộc khai thác thuộc địa lần thứ hai ở Đông Dương (1919 - 1929) khi,"A. hệ thống thuộc địa của chủ nghĩa đế quốc tan rã.
B. thế giới tư bản đang lâm vào khủng hoảng thừa.
C. cuộc Chiến tranh thế giới thứ nhất đã kết thúc.
D. kinh tế các nước tư bản đang trên đà phát triển.",C
Câu 8: Cuộc chiến đấu của quân dân Việt Nam ở Gia Định (1859) buộc thực dân Pháp phải chuyển sang thực hiện kế hoạch nào?,"A. Tiến công ra Bắc Kỳ. B. Chinh phục từng gói nhỏ.
C. Đánh nhanh thắng nhanh. D. Vừa đánh vừa đàm.",B
Câu 9: Cuộc cách mạng khoa học - kỹ thuật hiện đại đã và đang đưa loài người chuyển sang thời đại văn minh,A. thương mại. B. công nghiệp. C. dịch vụ. D. trí tuệ.,D
"Câu 10: Chủ trương xây dựng Nhà nước pháp quyền xã hội chủ nghĩa, Nhà nước của dân, do dân và vì dân là nội dung trong đường lối đổi mới của Đảng Cộng sản Việt Nam (từ tháng 12 - 1986) về",A. chính trị. B. văn hóa. C. pháp luật. D. đối ngoại.,A
