question,answer,correct_answer
"Câu 1: Ở Nam Phi, bản Hiến pháp tháng 11-1993 đã chính thức xoá bỏ chế độ","A. phân biệt chủng tộc.                            B. thị tộc.
C. phát xít.                                              D. chiếm hữu nô lệ.",
"Câu 2: Đến năm 2000, một trong những “con rồng” kinh tế của châu Á là","A. Tây Ban Nha.                                      B. Xuđăng.
C. Angiêri.                                              D. Hàn Quốc.",
Câu 3: Luận cương chính trị của Đảng Cộng sản Đông Dương (tháng 10-1930) xác định nhiệm vụ chiến lược của cách mạng Việt Nam là,"A. Đánh đổ phong kiến, đế quốc.               B. chống chính quyền Sài Gòn.
C. chống thực dân Anh Xâm lược.              D. chống chế độ phân biệt chủng tộc.",
"Câu 4: Tháng 4-1970, Hội nghị cấp cao ba nước Việt Nam-Lào-Campuchia đã xác định kẻ thù chung của nhân dân Đông Dương là","A. phát xít Italia.                                      B. thực dân Hà Lan.
C. phát xít Đức.                                       D. đế quốc Mĩ.",
"Câu 5: Đầu năm 1975, quân dân miền Nam Việt Nam giành được thắng lợi trong chiến dịch nào sau đây ?","A. Bắc Lào.                                             B. Phước Long.
C. Thượng Lào.                                       D. Trung Lào.",
"Câu 6: Về quân sự, nhân dân miền Nam Việt Nam giành thắng lợi nào sau đây trong cuộc chiến đấu chống chiến lược Chiến tranh đặc biệt (1961-1965) của Mĩ?","A. Kí Hiệp định Pari.                                 B. Kí Tạm ước Việt-Pháp.
C. Kí Hiệp định Giơneve.                           D. Chiến thắng Ấp Bắc.",
Câu 7: Nội dung nào sau đây là đường lối đổi mới về chính trị của Đảng Cộng sản Việt Nam đề ra từ năm 1986?,"A. Duy trì nền kinh tế kế hoạch, tập trung, bao cấp.
B. Xây dựng nhà nước pháp quyền xã hội chủ nghĩa.
C. Chỉ phát triển kinh tế tập thể.
D. Chỉ phát triển công nghiệp nhẹ.",
"Câu 8: Trong những năm 20 của thế kỉ XX, phần lớn học viên tham gia các lớp đào tạo cán bộ của Nguyễn Ái Quốc ở Quảng Châu (Trung Quốc) là","A. đại tư sản.                                  B. thanh niên, trí thưc.
C. nông dân.                                   D. địa chủ phong kiến.",
"Câu 9: Trong những năm 1919-1930, lực lượng xã hội nào sau đây ở Việt Nam câu kết chặt chẽ với đế quốc Pháp?","A. Tư sản mại bản.                          B. Thợ thủ công.
C. Công nhân.                                 D. Nông dân.",
Câu 10: Quốc gia nào sau đây mở đầu kỉ nguyên chinh phục vũ trụ của loài người ?,"A. Ai Cập.                                       B. Libi.
C. Cuba.                                         D. Liên Xô.",
Câu 11: Nội dung nào sau đây là tác động tiêu cực của xu thế toàn cầu hoá từ đầu những năm 80 của thế kỉ XX?,"A. Sự phát triển nhanh của lực lượng sản xuất.
B. Sự tăng trưởng nhanh của kinh tế.
C. Sự phát triển nhanh của khoa học, công nghê.
D. Sự bất công xã hội thêm trầm trọng.",
"Câu 12: Năm 1941, Hội nghị lần thứ 8 Ban Chấp hành Trung ương Đảng Cộng sản Đông Dương chủ trương giúp đỡ việc lập mặt trận ở nước nào sau đây?","A. Na Uy.                                        B. Thuỵ Điển.
C. Lào.                                           D. Thuỵ Sĩ.",
"Câu 13: Trong những năm 1951-1953, phong trào nào sau đây diễn ra ở Việt Nam?","A. Phá kho thóc Nhật.                      B. Diệt phát xít Đức.
C. Chống dịch Covid-19.                   D. Thi đua yêu nước.",
Câu 14: Nội dung của kế hoạch Nava do thực dân Pháp triển khai ở Việt Nam trong những năm 1953-1954 thuộc lĩnh vực nào sau đây?,"A. Văn hoá.                                     B. Giáo dục.
C. Y tế.                                           D. Quân sự.",
Câu 15: Một trong những phong trào đấu tranh vũ trang chống Pháp của nhân dân Việt Nam cuối thế kỉ XIX là,"A. cải cách trang phục.                     B. Cần vương.
C. cải cách lối sống.                         D. học chữ Quốc ngữ.",
"Câu 16: Năm 1999, đồng ơro (EURO) trở thành đồng tiền chung của nhiều nước thuộc khu vực nào sau đây?","A. Châu Âu.                                    B. Châu Phi.
C. Mĩ Latinh.                                   D. Châu Á.",
"Câu 17: Từ sau Chiến tranh lạnh đến năm 2000, để xây dựng sức mạnh thực sự, hầu hết các quốc gia đều tập trung phát triển","A. điện ảnh.                                    B. thể dục, thể thao.
C. văn học, nghệ thuật.                    D. kinh tế.",
"Câu 18: Tháng 9-1960, Đại hội đại biểu toàn quốc lần thứ III của Đảng Lao động Việt Nam diễn ra trong bối cảnh nào sau đây?","A. Miền Nam hoàn toàn giải phóng.           B. Miền Bắc đã được giải phóng.
C. Việt Nam gia nhập Liên hợp quốc.          D. Đất nước đã được thống nhất.",
"Câu 19: Theo Hiệp định Sơ bộ (ngày 6-3-1946), quân Pháp được ra miền Bắc Việt Nam làm nhiệm giải phóng quân đội nào sau đây?","A. Brunây.                                      B. Ănggôla.
C. Nhật Bản.                                   D. Áo.",
"Câu 20: Trong những năm 70 của thế kỉ XX, quốc gia nào sau đây là một trong ba trung tâm kinh tế-tài chính của thế giới?","A. Mĩ.                                             B. Môdămbích.
C. Campuchia.                                 D. Marốc.",
