question,answer,correct_answer
"Câu 1: Để khắc phục tình trạng khó khăn về tài chính sau Cách mạng tháng Tám năm 1945, Chính phủ nước Việt Nam Dân chủ Cộng hòa kêu gọi","A. cải cách ruộng đất và thực hành tiết kiệm. B. nhân dân cả nước thực hiện “Ngày đồng tâm”.
C. nhân dân thực hiện phong trào tăng gia sản xuất. D. tinh thần tự nguyện đóng góp của nhân dân.",D
Câu 2: Quốc gia đầu tiên phóng thành công tàu vũ trụ có người lái bay vòng quanh Trái Đất là,A. Anh. B. Liên Xô. C. Pháp. D. Mỹ.,B
"Câu 3: Từ sau Chiến tranh thế giới thứ hai đến nửa đầu những năm 70 của thế kỷ XX, quan hệ giữa Mỹ và Liên Xô là",A. đối đầu. B. hợp tác. C. đối tác. D. đồng minh.,A
"Câu 4: Trong quá trình chuẩn bị lực lượng tiến tới khởi nghĩa giành chính quyền (1941 - 1945), một trong những nhiệm vụ cấp bách của Đảng Cộng sản Đông Dương là vận động quần chúng tham gia","A. các Ủy ban hành động. B. Mặt trận Việt Minh.
C. các Hội Phản đế. D. Hội Liên Việt.",B
Câu 5: Hội Duy tân do Phan Bội Châu thành lập (1904) chủ trương,"A. khôi phục chế độ quân chủ chuyên chế. B. thiết lập chính thể Cộng hòa dân chủ.
C. thành lập nước Cộng hòa Dân quốc Việt Nam. D. thiết lập chính thể quân chủ lập hiến.",D
Câu 6: Nội dung nào dưới đây là hệ quả của toàn cầu hóa?,"A. Kìm hãm sự phát triển của lực lượng sản xuất. B. Góp phần chuyển biến cơ cấu kinh tế.
C. Giải quyết căn bản sự phân hóa giàu nghèo. D. Giải quyết triệt để những bất công xã hội.",B
"Câu 7: “Tổ chức và lãnh đạo quần chúng đoàn kết, tranh đấu để đánh đổ đế quốc chủ nghĩa Pháp và tay sai để tự cứu lấy mình” là mục tiêu hoạt động của tổ chức nào?","A. Hội Việt Nam Cách mạng Thanh niên. B. Hội Hưng Nam.
C. Việt Nam Quốc dân Đảng. D. Hội Phục Việt.",A
Câu 8: Tình hình thế giới và trong nước những năm 80 của thế kỷ XX đặt ra yêu cầu cấp bách nào đối với Việt Nam?,"A. Hoàn thành tập thể hóa nông nghiệp. B. Tập trung phát triển công nghiệp nặng.
C. Hoàn thành công nghiệp hóa, hiện đại hóa. D. Tiến hành công cuộc đổi mới toàn diện.",D
"Câu 9: Trong cuộc kháng chiến chống thực dân Pháp (1945 - 1954), thắng lợi nào của quân dân Việt Nam đã làm phá sản hoàn toàn kế hoạch Nava?","A. Chiến dịch Việt Bắc thu - đông năm 1947. B. Chiến dịch Thượng Lào xuân - hè năm 1953.
C. Chiến dịch Biên giới thu - đông năm 1950. D. Chiến dịch Điện Biên Phủ năm 1954.",D
"Câu 10: Trước khi thực dân Pháp xâm lược (1858), Việt Nam là một quốc gia","A. tự do trong Liên bang Đông Dương. B. độc lập trong Liên bang Đông Dương.
C. độc lập, có chủ quyền. D. dân chủ, có chủ quyền.",C
Câu 11: Phong trào “Đồng khởi” (1959 - 1960) nổ ra trong hoàn cảnh cách mạng miền Nam Việt Nam đang,"A. giữ vững và phát triển thế tiến công. B. gặp muôn vàn khó khăn và tổn thất.
C. chuyển dần sang đấu tranh chính trị. D. chuyển hẳn sang tiến công chiến lược.",B
Câu 12: Đường lối chuyển từ cách mạng dân chủ tư sản sang cách mạng xã hội chủ nghĩa ở nước Nga (1917) được V. I. Lênin đề ra trong,"A. Chính sách cộng sản thời chiến. B. Luận cương về vấn đề dân tộc và thuộc địa.
C. Chính sách kinh tế mới (NEP). D. Luận cương tháng Tư.",D
Câu 13: Cuộc kháng chiến của nhân dân Việt Nam chống thực dân Pháp xâm lược (1858 - 1884) có đặc điểm gì?,"A. Kết hợp chặt chẽ đấu tranh vũ trang với đấu tranh chính trị và ngoại giao.
B. Lan rộng từ Bắc vào Nam theo sự mở rộng địa bàn xâm lược của thực dân Pháp.
C. Từ chống ngoại xâm đến kết hợp chống ngoại xâm và phong kiến đầu hàng.
D. Hình thành một mặt trận thống nhất do các văn thân, sĩ phu tiến bộ lãnh đạo.",C
"Câu 14: Trong giai đoạn 1936 - 1939, nhân dân Việt Nam chưa thực hiện","A. chống chế độ phản động thuộc địa, chống phát xít.
B. đòi các quyền tự do, dân chủ, cơm áo, hòa bình.
C. giành độc lập dân tộc và cách mạng ruộng đất.
D. kết hợp các hình thức đấu tranh công khai và bí mật.",C
Câu 15: Hoạt động yêu nước của Nguyễn Tất Thành trong những năm 1911 - 1918 có ý nghĩa như thế nào?,"A. Đặt cơ sở cho việc xác định con đường cứu nước mới.
B. Thiết lập mối quan hệ giữa cách mạng Việt Nam và thế giới.
C. Chuẩn bị điều kiện về tổ chức cho sự ra đời của Đảng Cộng sản.
D. Xác định được con đường cứu nước đúng đắn cho dân tộc.",A
Câu 16: Đại hội đại biểu lần thứ II của Đảng Cộng sản Đông Dương (tháng 2 - 1951) có ý nghĩa là,"A. Đại hội xây dựng chủ nghĩa xã hội. B. Đại hội kháng chiến thắng lợi.
C. Đại hội kháng chiến toàn dân. D. Đại hội xây dựng và bảo vệ Tổ quốc.",B
Câu 17: Nội dung nào dưới đây phản ánh không đúng về Chiến tranh thế giới thứ hai (1939 - 1945)?,"A. Chiến tranh kết thúc dẫn đến thay đổi căn bản tình hình thế giới.
B. Liên Xô giữ vai trò đặc biệt quan trọng đối với việc tiêu diệt phát xít.
C. Chiến tranh kết thúc mở ra thời kỳ phát triển mới của lịch sử thế giới.
D. Mỹ giữ vai trò lãnh đạo phe Đồng minh từ khi chiến tranh bùng nổ.",D
"Câu 18: Trong thời kỳ 1954 - 1975, nhân dân miền Nam Việt Nam thực hiện nhiệm vụ chiến lược nào?","A. Hoàn thành cải cách ruộng đất và triệt để giảm tô, giảm tức.
B. Chống việc tổ chức bầu cử riêng rẽ của chính quyền Sài Gòn.
C. Hoàn thành cuộc cách mạng dân tộc dân chủ nhân dân.
D. Chống chính sách tố cộng, diệt cộng của chính quyền Sài Gòn.",C
