question,answer,correct_answer
Câu 1: Một trong những âm mưu của Mĩ trong thời kì 1954-1975 là biến miền Nam Việt Nam thành,"A. thuộc địa kiểu mới.		B. căn cứ quân sự duy nhất
C. thị trường xuất khẩu duy nhất.	D. đồng minh duy nhất",A
Câu 2: Chiến thắng Việt Bắc thu-đông năm 1947 của quân dân Việt Nam đã,"A. làm thất bại chiến tranh tổng lực. 	B. làm thất bại chiến tranh cục bộ.
C. bảo vệ an toàn cơ quan đầu não kháng chiến. 	D. làm thất bại chiến tranh đặc biệt",C
Câu 3: Một trong những hoạt động của Nguyễn Ái Quốc ở Pháp trong những năm 1919-1923 là,"A. triệu tập Hội nghị hợp nhất các tổ chức cộng sản.
B. soạn thảo Chính cương của Đảng Cộng sản Đông Dương
C. tham dự Đại hội lần thứ XVIII của Đảng Xã hội Pháp.
D. soạn thảo Sách lược của Đảng Cộng sản Đông Dương",C
"Câu 4: Trong khoảng những năm 50 của thế kỉ XX, nhân dân Cuba đấu tranh chống","A. chế độ độc tài thân Mĩ.		B. thực dân Hà Lan.
C. thực dân Pháp.		D. thực dân Anh.",A
"Câu 5: Cuối năm 1953, thực dân Pháp chọn địa bàn nào sau đây để xây dựng thành tập đoàn cứ điểm mạnh nhất Đông Dương?",A. Cao Bằng 	B. Điện Biên Phủ 	C. Đông Khê.	D. Thất Khê.,B
"Câu 6: Năm 1957, quốc gia nào sau đây phóng thành công vệ tinh nhân tạo lên quỹ đạo Trái Đất?",A. Thụy Điển. 	B. Hà Lan.	C. Liên Xô.	D. Thụy Sĩ.,C
Câu 7: Trong phong trào giải phóng dân tộc 1939-1945. Nhân dân Việt Nam đã,"A. xây dựng kinh tế nhà nước.	B. xây dựng Mặt trận Việt Minh.
C. xây dựng nông thôn mới.	D. xây dựng kinh tế tập thể.",B
"Câu 8: Trong phong trào dân chủ 1936-1939, Nhân dân Việt Nam đã","A. lập căn cứ địa cách mạng trong cả nước. 	B. khởi nghĩa vũ trang giành chính quyền.
C. biểu tình đưa yêu sách về dân sinh.	D. tiến hành chiến tranh du kích cục bộ.",C
"Câu 9: Tháng 6-1929, Đông Dương Cộng sản đảng ra đời từ sự phân hóa của tổ chức cách mạng nào sau đây?","A. Hội Liên hiệp thuộc địa.		B. Đảng Dân chủ Việt Nam.
C. Việt Nam Quốc dân đảng	D. Hội Việt Nam Cách mạng Thanh niên.",D
Câu 10: Đường lối đổi mới của Đảng Cộng sản Việt Nam (từ tháng 12-1986) có nội dung nào sau đây?,"A. Chỉ tập trung đổi mới về văn hóa.	B. Chỉ tập trung đổi mới về chính trị.
C. Chỉ đổi mới về tổ chức và tư tưởng	D. Đổi mới toàn diện và đồng bộ.",D
"Câu 11: Để tăng cường xây dựng hậu phương kháng chiến, trong những năm 1951-1953, Nhân dân Việt Nam thực hiện nhiệm vụ","A. điện khí hóa nông nghiệp.	B. phát triển kinh tế thị trường.
C. điện khí hóa nông thôn.		D. xây dựng đời sống mới.",D
Câu 12: Hội Việt Nam Cách mạng Thanh niên (1925-1929) có hoạt động nào sau đây?,"A. Phát động nhân dân tổng khởi nghĩa.	B. Mở các lớp đào tạo cán bộ cách mạng.
C. Tổ chức ám sát trùm mộ phu Badanh. 	D. Phát động khởi nghĩa Yên Bái.",B
"Câu 13: Từ năm 1960 đến năm 1973, kinh tế Nhật Bản có biểu hiện nào sau đây?","A. Trì trệ kéo dài.		B. Khủng hoảng nặng nề.
C. Suy thoái trầm trọng.		D. Phát triển “thần kì”.",D
Câu 14: Luận cương chính trị (tháng 10-1930) của Đảng Cộng sản Đông Dương xác định,"A. mục tiêu đấu tranh chỉ là các quyền dân chủ. 	B. lãnh đạo cách mạng là giai cấp nông dân.
C. mục tiêu đấu tranh chỉ là các quyền dân sinh. 	D. lãnh đạo cách mạng là giai cấp công nhân.",D
Câu 15: Quốc gia nào sau đây tuyên bố độc lập và thành lập nước cộng hòa vào năm 1950?,A. Ấn Độ. 	B. Việt Nam.	C. Lào.	D. Campuchia.,A
