question,answer,correct_answer
"Câu 1: Trong những năm 1961-1965, Mĩ thực hiện chiến lược nào sau đây ở miền Nam Việt Nam?","A. Đông Dương hóa chiến tranh. B. Chiến tranh đặc biệt.
C. Việt Nam hóa chiến tranh. D. Ngăn đe thực tế.",B
"Câu 2: Năm 1948, sản lượng công nghiệp của quốc gia nào chiếm hơn một nữa sản lượng công nghiệp của toàn thế giới?",A. Pháp. B. Trung Quốc. C. Italia. D. Mĩ.,D
"Câu 3: Năm 1957, Liên Xô là nước đầu tiên trên thế giới","A. đưa con người lên Mặt Trăng. B. phóng thành công vệ tinh nhân tạo.
C. thực hiện cuộc cách mạng xanh. D. chế tạo thành công bom nguyên tử.",B
"Câu 4: Ngày 18-8-1965, Mĩ mở cuộc tiến công vào thôn Vạn Tường (Quảng Ngãi) với mục tiêu chủ yếu nào sau đây?","A. Tiêu diệt một đơn vị chủ lực Quân giải phóng miền Nam.
B. Tiêu diệt toàn bộ chủ lực Quân giải phóng miền Nam.
C. Thử nghiệm chiến thuật trực thăng vận.
D. Thử nghiệm chiến thuật thiết xa vận.",A
Câu 5: Văn kiện nào sau đây được Hội nghị thành lập Đảng Cộng sản Việt Nam (đầu năm 1930) thông qua?,"A. Đề cương văn hóa Việt Nam. B. Luận cương chính trị.
C. Báo cáo chính trị. D. Chính cương vắn tắt.",D
"Câu 6: Theo Hiệp định Sơ bộ (6-3-1946), quân Pháp được ra miền Bắc Việt Nam làm nhiệm vụ giãi giáp quân Nhật thay cho lực lượng quân đội nào?",A. Anh. B. Mĩ C. Tây Ban Nha D. Trung Hoa Dân quốc.,D
"Câu 7: Sau Chiến tranh thế giới thứ hai, nhân dân Ấn Độ đấu tranh chống lại ách thống trị của thực dân",A. Anh. B. Bồ Đào Nha C. Tây Ban Nha D. Pháp.,A
"Câu 8: Trong cuộc khai thác thuộc địa lần thứ hai ở Đông Dương (1919-1929), thực dân Pháp tập trung đầu tư vào?","A. đồn điền cao su. B. công nghiệp hóa chất.
C. công nghiệp luyện kim. D. ngành chế tạo máy.",A
"Câu 9: Trong sự nghiệp đổi mới đất nước (từ năm 1986), Việt Nam có chủ trương nào sau đây?","A. Phát triển kinh tế kế hoạch hóa tập trung. B. Tập trung cải tạo công thương nghiệp.
C. Xóa bỏ sự tồn tại của thị trường tự do. D. Mở rộng quan hệ kinh tế đối ngoại.",D
"Câu 10: Trong chính sách Kinh tế mới ở nước Nga Xô viết (1921), Nhà nước","A. không thu thuế lương thực. B. nắm các ngành kinh tế chủ chốt.
C. chỉ nắm ngành giao thông. D. chỉ nắm ngành ngân hàng.",B
"Câu 11: Ngày 22-12-1944, lực lượng vũ trang nào được thành lập ở Việt Nam?","A. Việt Nam Giải phóng quân. B. Trung đội Cứu quốc quân I.
C. Đội Việt Nam Tuyên truyền Giải phóng quân D. Vệ quốc đoàn.",C
"Câu 12: Trong phong trào cách mạng 1930-1931, Xô viết Nghệ-Tĩnh đã","A. mở lớp dạy chữ Quốc ngữ. B. đề ra Đề cương văn hóa Việt Nam.
C. thực hiện cải cách giáo dục. D. xây dựng hệ thống trường học các cấp.",A
"Câu 13: Sau Chiến tranh thế giới thứ nhất, lực lượng xã hội có khả năng vươn lên nắm ngọn cờ lãnh đạo cách mạng Việt Nam là","A. nông dân. B. văn thân, sĩ phu. C. địa chủ. D. công nhân.",D
Câu 14: Thắng lợi của phong trào Đồng khởi (1959-1960) ở miền Nam Việt Nam đã,"A. làm phá sản chiến lược Chiến tranh đặc biệt của Mĩ.
B. chuyển cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công.
C. làm sụp đổ hoàn toàn chính quyền Ngô Đình Diệm.
D. trực tiếp buộc Mĩ đưa quân đội tham chiến tại chiến trường miền Nam.",B
Câu 15: Cao trào khánh Nhật cứu nước (1945) ở VIệt Nam có ý nghĩa nào sau đây?,"A. Củng cố chíng quyền cách mạng trong cả nước.
B. Mở đầu thời kỳ vận động giải phóng dân tộc.
C. Bước đầu xây dựng lực lượng cho cách mạng.
D. Giúp cho quần chúng nhân dân tập dượt đấu tranh.",D
Câu 16: Nội dung nào sau đây không phải là mục đích của Việt Nam khi mở chiến dịch Biên giới thu-đông năm 1950?,"A. Làm phá sản chiến lược đánh nhanh thắng nhanh của Pháp.
B. Khai thông đường liên lạc với Trung Quốc và các nước trên thế giới.
C. Tiêu diệt một bộ phận sinh lực quân Pháp.
D. Mở rộng và củng cố căn cứ địa Việt Bắc.",A
"Câu 17: Trong thời kì 1954-1975, sự kiện nào đánh dấu cách mạng Việt Nam hoàn thành “đánh cho ngụy nhào”?","A. Đại thắng mùa Xuân 1975.
B. Hiệp định Pari về Việt Nam được kí kết (1973).
C. Toán lính Mĩ cuối cùng rút khỏi Việt Nam (1973).
D. Chiến thắng Điện Biên Phủ trên không (1972).",A
"Câu 18: Từ sau năm 1991 đến năm 2000, Mĩ ra sức thiết lập trật tự thế giới “một cực” trong điều kiện nào sau đây?","A. Nhiều quốc gia điều chỉnh chiến lược phát triển lấy kinh tế làm trọng tâm.
B. Mĩ xây dựng được hệ thống căn cứ quân sự ở tất cả các nước.
C. Mĩ đã kiểm soát được tất cả các liên minh kinh tế-chính trị-quân sự khu vực.
D. Mĩ là trung tâm kinh tế-tài chính duy nhất của thế giới.",A
Câu 19: Hiệp hội các quốc gia Đông Nam Á (ASEAN) được thành lập trong bối cảnh nào?,"A. Trật tự thế giới hai cực Ianta sụp đổ. B. Chiến tranh lạnh đã chấm dứt.
C. Nhiều tổ chức hợp tác khu vực ra đời. D. Chủ nghĩa thực dân bị xóa bỏ hoàn toàn.",CC
Câu 20: Nội dung nào sau đây là ý nghĩa của việc hoàn thành thống nhất đất nước về mặt nhà nước ở Việt Nam (1975-1976)?,"A. Đánh dấu việc hoàn thành thống nhất đất nước trên tất cả lĩnh vực.
B. Là điều kiện trực tiếp để Việt Nam gia nhập tổ chức ASEAN.
C. Tạo điều kiện hoàn thành cuộc cách mạng giải phóng dân tộc.
D. Tạo điều kiện thuận lợi để cả nước đi lên chủ nghĩa xã hội.",D
Câu 21: Đảng Cộng sản Đông Dương xác định phương pháp đấu tranh là công khai hợp pháp và bất hợp pháp trong,"A. phong trào dân chủ 1936-1939.
B. cuộc Tổng khởi nghĩa giành chính quyền (1945).
C. phong trào cách mạng 1930-1931.
D. cao trào kháng Nhật cứu nước (1945).",A
"Câu 22: Năm 1975, thắng lợi của nhân dân Môdămbích và Ănggôla trong cuộc đấu tranh chống Bồ Đào Nha là mốc đánh dấu","A. chủ nghĩa thực dân mới ở châu Phi sụp đổ hoàn toàn.
B. chủ nghĩa thực dân cũ ở châu Phi cơ bản sụp đổ.
C. chế độ phân biệt chủng tộc ở châu Phi chính thức bị xóa bỏ.
D. chủ nghĩa thực dân cũ ở châu Phi sụp đổ hoàn toàn.",B
"Câu 23: Theo quyết định của Hội nghị Ianta (2-1945), Liên Xô không đóng quân tại khu vực nào sau đây?",A. Đông Đức. B. Bắc Triều Tiên. C. Đông Âu. D. Nam Á.,D
Câu 24: Cuộc kháng chiến chống thực dân Pháp của nhân dân Việt Nam ở ba tỉnh miền Tây Nam Bộ từ năm 1867 đến năm 1874 thất bại là do,"A. tương quan lực lượng không có lợi cho Việt Nam.
B. phe chủ chiến trong triều đình nhà Nguyễn đầu hàng.
C. triều đình nhà Nguyễn đã hoàn toàn đầu hàng quân Pháp.
D. quân Pháp có sự giúp sức của Tây Ban Nha.",A
