question,answer,correct_answer
"Câu 1: Trong phong trào dân chủ 1936-1939, nhân dân Việt Nam đã","A. phát triển dân quân du kích.		B. đấu tranh đòi các quyền tự do.
C. thành lập bộ đội chủ lực.			D. xây dựng bộ đội địa phương.",B
"Câu 2: Ở Đông Dương, thực dân Pháp đề ra kế hoạch quân sự Nava (1953) trong bối cảnh nào sau đây?","A. Quân phiệt Nhật Bản tiến vào Đông Dương.
B. Nhật đảo chính Pháp trên toàn Đông Dương.
C. Vùng chiếm đóng của Pháp bị thu hẹp.
D. Quân Trung Hoa dân quốc tiến vào Việt Nam.",C
"Câu 3: Về chính trị, những năm 1951-1953, ở Việt Nam diễn ra sự kiện nào sau đây?","A. Quân giải phóng miền Nam ra đời.
B. Chiến dịch giải phóng Huế - Đà Nẵng.
C. Đại hội Đại biểu lần II của Đảng Cộng sản Đông Dương.
D. Cuộc Tổng tiến công và nổi dậy xuân Mậu Thân.",C
Câu 4: Nội dung nào sau đây thuộc lĩnh vực giáo dục trong cuộc vận động Duy tân ở Việt Nam do Phan Châu Trinh khởi xướng đầu thế kỉ XX?,"A. Mở rộng diện tích trồng lúa.		B. Phổ cập giáo dục trung học.
C. Mở trường dạy học theo lối mới.		D. Tiến hành khai thác mỏ.",C
Câu 5: Sự kiện nào sau đây diễn ra trong thời kì Chiến tranh lạnh (1947-1989)?,"A. Mĩ thực hiện Kế hoạch Mácsan.		B. Chiến tranh thế giới thứ nhất két thúc.
C. Chiến tranh thế giới thứ hai bùng nổ.	D. Hệ thống Vécxai - Oasinhtơn thiết lập.",A
Câu 6: Một trong những biểu hiện của tình hình Việt Nam giai đoạn 1954-1960 là,"A. cả nước đi lên chủ nghĩa xã hội.		B. cả nước độc lập, thống nhất.
C. miền Nam được hoàn toàn giải phóng.	D. miền Bắc được hoàn toàn giải phóng.",D
Câu 7: Nội dung nào sau đây là nguồn gốc của cuộc cách mạng khoa học - kĩ thuật diễn ra từ những năm 40 của thế kỉ XX?,"A. Trật tự đa cực thiết lập.			B. Những đòi hỏi của sản xuất.
C. Trật tự hai cực Ianta sụp đổ.		D. Mĩ thiết lập trật tự đơn cực.",B
Câu 8: Một trong những biện pháp về giáo dục nhằm xây dựng chế độ mới ở Việt Nam trong những năm 1945-1946 là,"A. cải cách và mở cửa kinh tế.		B. mở rộng các hoạt động kinh tế đối ngoại.
C. thành lập Nha bình dân học vụ.		D. đẩy mạnh hội nhập kinh tế khu vực.",C
"Câu 9: Theo quyết định của Hội nghị Ianta (2/1945), quân đội Liên Xô chiếm đóng khu vực nào sau đây?",A. Đông Âu.		B. Tây Đức.		C. Tây Béclin.			D. Tây Âu.,A
"Câu 10: Trong những năm 1945-1973, quốc gia nào sau đây triển khai chiến lược toàn cầu với một trong những mục tiêu là ngăn chặn ảnh hưởng của chủ nghĩa xã hội?",A. Đức.		B. Mĩ.			C. Nhật Bản.			D. Italia.,B
Câu 11: Một trong những hoạt động của Hội Việt Nam cách mạng thanh niên (1925-1929) là,"A. xây dựng căn cứ địa ở Cao Bằng.		B. phát động tiến công và nổi dậy.
C. mở nhiều lớp huấn luyện cán bộ.		D. phát động tổng khởi nghĩa toàn quốc.",C
Câu 12: Một trong những tổ chức của các nước Tây Âu được thành lập nửa sau thế kỉ XX là,"A. Ngân hàng thế giới (WB).	    		B. Đại hội dân tộc Phi (ANC).
C. Cộng đồng than - thép châu Âu.   		D. Hiệp hội các quốc gia Đông Nam  Á (ASEAN).",C
