question,answer,correct_answer
"Câu 1: Năm 1999, dòng tiền châu Âu được phát hành với tên gọi là","A. nhân dân tệ.
B. euro.
C. đôla.
D. phảng.",
Câu 2: Hội nghị lần thứ 21 (tháng 7-1973) của Ban Chấp hành Trung ương Đảng lao động Việt Nam nhằm xác định kế hoạch phát triển kinh tế giữ vững chiến lược,"A. hòa bình.
B. phong trào.
C. rút lui.
D. tiến công.",
Câu 3: Hội nghị lần thứ 4 Ban Chấp hành Trung ương Đảng Cộng sản Đông Dương (tháng 5-1941) chủ trương giúp đỡ việc phát trển ở nước sau đây?,"A. Campuchia.
B. Thủy Sỹ.
C. Na Uy.
D. Thụy Điển.",
Câu 4: Hội nghị lanta (tháng 2-1945) đã quyết định về nước nào sau đây?,"A. Thành lập Quỹ Tiền tệ quốc tế (IMF).
B. Thành lập Liên minh châu Âu (EU).
C. Tiến hành tổ chức phạt xít Đức.
D. Thành lập Ngân hàng Thế giới (WB).",
"Câu 5: Năm 1954, nhân dân Việt Nam giành được thắng lợi nào về ngoại giao nào sau đây?","A. Ký Hiệp định Giơnevo.
B. Đánh bại cuộc kích kích không quân Mỹ.
C. Đánh bại cuộc hành quân của Mỹ vào Lào.
D. Chiến tranh Vạn Tường.",
"Câu 6: Đầu thập kỷ XX, Phan Bội Châu tổ chức phong trào nào sau đây để đưa thanh niên Việt Nam sang Nhật Bản học tập?","A. Tăng sản xuất.
B. Ngày đồng tâm.
C. Nhường cơm sẻ áo.
D. Đồng bù.",
"Câu 7: Trong năm 1960, Mặt trận Dân tộc Giải phóng miền Nam Việt Nam đã tổ chức phong trào nào sau đây?","A. Đồng khởi.
B. Xây dựng Quỹ độc lập.
C. Tuần lễ vàng.
D. Lập hội cứu đói.",
Câu 8: Quân đội miền Nam Việt Nam chiến đấu chống chiến lược Chiến tranh cục bộ (1965-1968) của Mỹ nhằm thực hiện nhiệm vụ nào sau đây?,"A. Bảo vệ khu giải phóng Việt Bắc.
B. Giải phóng hoàn toàn miền Nam.",
"Câu 9: Về quân sự, một trong những thắng lợi của miền Nam Việt Nam trong cuộc chiến đấu chống chiến lược Chiến tranh đặc biệt (1961-1965) của Mỹ là","A. xa kháng mới.
B. phối hợp giữa lực.
C. chiến thắng Ấp Bắc.
D. xây dựng nông thôn mới.",
"Câu 10: Trong những năm 1949-1950, nội dung của kế hoạch Rovo để phát triển khai ở Việt Nam thuộc lĩnh vực nào sau đây?","A. Văn hóa.
B. Giáo dục.
C. Quân sự.
D. Y tế.",
