question,answer,correct_answer
"Câu 1: Trong khởi nghĩa từng phần (từ tháng 3 đến tháng 8-1945), nhân dân Việt Nam ở Bắc Kì và Bắc Trung Kì thực hiện khẩu hiệu","A. “Phá kho thóc, giải quyết nạn đói”. B. “Người cày có ruộng”.
C. “Tăng gia sản xuất”. D. “Không một tấc đất bỏ hoang”.",A
"Câu 2: Trong 5 năm đầu (1986-1990) của công cuộc đổi mới, Việt Nam đạt được một trong những thành tựu nào sau đây?","A. Hoàn thành hiện đại hóa đất nước. B. Kiềm chế một bước đà lạm phát.
C. Xuất khẩu gạo đứng đầu thế giới. D. Hoàn thành công nghiệp hóa đất nước.",B
"Câu 3: Trong tháng 12-1993, Hiến pháp Liêng bang Nga được ban hành, quy định thể chế","A. quân chủ chuyên chế. B. quân chủ lập hiến.
C. Tổng thống Liên bang. D. cộng hòa xã hội chủ nghĩa.",C
"Câu 4: Năm 1925, tiểu tư sản Việt Nam tổ chức hoạt động nào sau đây?","A. Đòi trả tự do cho Phan Bội Châu. B. Chống độc quyền cảng Sài Gòn.
C. Chấn hưng nội hóa. D. Thành lập Đảng Lập hiến.",A
Câu 5: Một trong những nội dung của Chính sách kinh tế mới (1921) ở nước Nga Xô viết là,"A. Nhà nước chỉ nắm ngành giao thông. B. Nhà nước chỉ nắm ngành ngân hàng.
C. Nhà nước không thu thuế lương thực. D. tư nhân được xây dựng xí nghiệp nhỏ.",D
"Câu 6: Trong chiến lược Chiến tranh đặc biệt (1961-1965) ở miền Nam Việt Nam, Mĩ đã","A. dựng lên chính quyền tay sai Ngô Đình Diệm.
B. sử dụng các chiến thuật trực thăng vận và thiết xa vận.
C. mở rộng chiến tranh xâm lược sang Lào và Campuchia.
D. tiến hành chiến dịch tràn ngập lãnh thổ.",B
"Câu 7: Năm 1971, Mĩ sử dụng quân đội Sài Gòn tăng cường chiến tranh ở Lào nhằm thực hiện âm mưu nào sau đây?","A. Gạt bỏ ảnh hưởng của Nhật ở Đông Dương.
B. Tái thiết lập Liêng bang Đông Dương.
C. Dùng người Đông Dương đánh người Đông Dương.
D. Mở rộng chiến tranh ra toàn châu Á.",C
Câu 8: Văn kiện nào sau đây được Hội nghị thành lập Đảng Cộng sản Việt Nam (đầu năm 1930) thông qua?,"A. Sách lược vắn tắt. B. Đề cương văn hóa VIệt Nam.
C. Luận cương chính trị. D. Báo cáo chính trị.",A
"Câu 9: Trong phong trào cách mạng 1930-1931, Xô viết Nghệ-Tĩnh đã?","A. đề ra Đề cương văn hóa Việt Nam B. xóa bỏ các tệ nạn xã hội.
C. thực hiện cải cách giáo dục. D. xây dựng hệ thống trường học các cấp.",B
"Câu 10: Theo Hiệp định Sơ bộ (6-3-1946), quân đội nước nào được ra miền Bắc Việt Nam thay quân Trung Hoa Dân quốc làm nhiệm vụ giãi giáp quân Nhật?",A. Mĩ. B. Pháp. C. Anh. D. Liên Xô.,B
Câu 11: Cuộc kháng chiến chống thực dân Pháp của nhân dân Lào (1946-1954) được sự giúp đỡ của quân tình nguyện?,A. Inđônêxia. B. Việt Nam. C. Miến Điện. D. Mã Lai.,B
"Câu 12: Từ sau khi trật tự thế giới hai cực Ianta sụp đỗ đến năm 2000, quốc gia nào sau đây ra sức thiết lập trật tự thế giới “một cực”?",A. Italia. B. Đức. C. Anh. D. Mĩ.,D
